stream_offset,frame_id,message_type,payload_length,report,record_index,target_num,cluster_id,x_m,y_m,z_m,dop_idx,speed_m_s,area0,area1,area2,area3,detected
2418,4617,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2443,4618,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2476,4619,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2501,4620,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2534,4621,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2559,4622,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2592,4623,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2617,4624,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2650,4625,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2675,4626,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2708,4627,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2733,4628,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2766,4629,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2791,4630,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2824,4631,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2849,4632,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2882,4633,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2907,4634,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
2940,4635,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2965,4636,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
2998,4637,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3023,4638,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3056,4639,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3081,4640,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3114,4641,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
